order_id,order_date,customer_id,region,product,category,quantity,amount_cents
1,2026-01-04,1062,us-east,toolkit-deluxe,tools,3,65994
2,2026-04-05,1022,us-west,widget-pro,widgets,5,39995
3,2026-01-05,1055,ap-south,toolkit,tools,1,3999
4,2026-03-13,1107,us-east,widget-pro,widgets,5,44995
5,2026-03-17,1194,ap-south,widget-pro,widgets,1,9999
6,2026-02-13,1055,ap-south,widget-pro,widgets,2,19998
7,2026-01-12,1091,us-east,gadget-mini,gadgets,1,1499
8,2026-04-14,1137,eu-west,gadget-mini,gadgets,4,4796
9,2026-01-11,1160,ap-south,widget-basic,widgets,3,5997
10,2026-03-15,1011,eu-west,toolkit,tools,1,4499
11,2026-04-09,1059,us-west,toolkit-deluxe,tools,1,19999
12,2026-02-05,1041,ap-south,widget-basic,widgets,3,5997
13,2026-01-27,1179,eu-west,gadget-mini,gadgets,3,4944
14,2026-03-19,1136,us-east,toolkit-deluxe,tools,2,43996
15,2026-01-21,1069,us-west,toolkit-deluxe,tools,4,79996
16,2026-03-29,1058,us-west,toolkit-deluxe,tools,1,19999
17,2026-02-21,1054,eu-west,widget-basic,widgets,1,1999
18,2026-01-28,1101,eu-west,toolkit,tools,4,21992
19,2026-01-19,1063,ap-south,toolkit-deluxe,tools,2,39998
20,2026-04-06,1149,eu-west,toolkit-deluxe,tools,4,79996
21,2026-01-29,1126,eu-west,gadget-pro,gadgets,5,58495
22,2026-04-21,1160,us-east,widget-basic,widgets,2,3198
23,2026-03-18,1097,ap-south,widget-pro,widgets,4,31996
24,2026-03-09,1002,ap-south,toolkit,tools,5,24995
25,2026-03-29,1196,us-east,toolkit-deluxe,tools,3,59997
26,2026-01-15,1040,eu-west,toolkit-deluxe,tools,4,79996
27,2026-04-03,1128,us-east,gadget-pro,gadgets,3,42894
28,2026-04-22,1163,us-east,widget-pro,widgets,3,32994
29,2026-01-20,1138,us-west,toolkit,tools,2,9998
30,2026-03-18,1004,us-east,toolkit,tools,4,19996
31,2026-04-23,1061,eu-west,widget-basic,widgets,3,7194
32,2026-04-23,1021,us-west,widget-basic,widgets,1,1999
